event_id,route_id,driver_id,t_event,mean_ttc_s,ttc_score,steering_reversals,reversal_score,composite_quality
TAKE_00152,driver_97/route_21,driver_97,4544.78,15.0,0.5,0,1.0,0.75
TAKE_00153,driver_97/route_21,driver_97,4576.78,15.0,0.5,0,1.0,0.75
TAKE_00154,driver_97/route_21,driver_97,4650.08,15.0,0.5,0,1.0,0.75
TAKE_00155,driver_97/route_21,driver_97,4693.71,15.0,0.5,0,1.0,0.75
TAKE_00156,driver_97/route_21,driver_97,4783.0,15.0,0.5,1,0.95,0.725
TAKE_00157,driver_97/route_21,driver_97,4902.92,15.0,0.5,0,1.0,0.75
TAKE_00158,driver_97/route_21,driver_97,5056.02,15.0,0.5,0,1.0,0.75
TAKE_00159,driver_97/route_21,driver_97,5150.4,15.0,0.5,0,1.0,0.75
TAKE_00160,driver_97/route_21,driver_97,5247.75,15.0,0.5,0,1.0,0.75
TAKE_00161,driver_97/route_22,driver_97,612.93,15.0,0.5,0,1.0,0.75
TAKE_00162,driver_97/route_22,driver_97,3265.24,15.0,0.5,0,1.0,0.75
TAKE_00163,driver_97/route_22,driver_97,3903.25,15.0,0.5,0,1.0,0.75
TAKE_00164,driver_97/route_22,driver_97,3922.43,15.0,0.5,0,1.0,0.75
TAKE_00165,driver_97/route_22,driver_97,3944.69,15.0,0.5,0,1.0,0.75
TAKE_00166,driver_97/route_22,driver_97,3979.4,9.854,0.3285,0,1.0,0.6642
TAKE_00167,driver_97/route_23,driver_97,102.7,28.623,0.9541,0,1.0,0.9771
TAKE_00168,driver_97/route_23,driver_97,264.95,30.0,1.0,0,1.0,1.0
TAKE_00169,driver_97/route_23,driver_97,650.65,28.596,0.9532,0,1.0,0.9766
TAKE_00170,driver_97/route_23,driver_97,964.79,10.803,0.3601,0,1.0,0.6801
TAKE_00171,driver_97/route_23,driver_97,1037.61,13.771,0.459,0,1.0,0.7295
TAKE_00172,driver_97/route_23,driver_97,1092.64,6.295,0.2098,0,1.0,0.6049
TAKE_00173,driver_97/route_23,driver_97,1173.2,23.454,0.7818,0,1.0,0.8909
TAKE_00174,driver_97/route_23,driver_97,1227.96,21.566,0.7189,0,1.0,0.8594
TAKE_00175,driver_97/route_23,driver_97,1417.64,27.1,0.9033,0,1.0,0.9517
TAKE_00176,driver_97/route_23,driver_97,1474.52,26.16,0.872,0,1.0,0.936
TAKE_00920,driver_54/route_1,driver_54,2328.07,15.0,0.5,0,1.0,0.75
TAKE_00921,driver_54/route_1,driver_54,3447.74,15.0,0.5,0,1.0,0.75
TAKE_00922,driver_54/route_1,driver_54,3743.78,23.819,0.794,0,1.0,0.897
TAKE_00923,driver_54/route_1,driver_54,5091.58,30.0,1.0,0,1.0,1.0
TAKE_00924,driver_54/route_1,driver_54,5226.28,16.735,0.5578,0,1.0,0.7789
TAKE_00925,driver_54/route_1,driver_54,5645.98,24.549,0.8183,0,1.0,0.9091
