method,feature,target,correlation,n
pearson,readyProb_0__mean,reaction_smoothness_score,,31
pearson,readyProb_0__mean,steering_smoothness_score,-0.4285207349161024,31
pearson,readyProb_0__mean,longitudinal_smoothness_score,-0.1455208444415507,31
pearson,readyProb_0__mean,lateral_stability_score,0.0854182843995381,31
pearson,readyProb_0__max,reaction_smoothness_score,,31
pearson,readyProb_0__max,steering_smoothness_score,-0.4200143058961157,31
pearson,readyProb_0__max,longitudinal_smoothness_score,-0.13932340993432143,31
pearson,readyProb_0__max,lateral_stability_score,0.09189933558408413,31
pearson,readyProb_0__std,reaction_smoothness_score,,31
pearson,readyProb_0__std,steering_smoothness_score,0.39046193991674216,31
pearson,readyProb_0__std,longitudinal_smoothness_score,0.24768513165513167,31
pearson,readyProb_0__std,lateral_stability_score,0.08460996439414732,31
pearson,readyProb_1__mean,reaction_smoothness_score,,31
pearson,readyProb_1__mean,steering_smoothness_score,0.4243528672593162,31
pearson,readyProb_1__mean,longitudinal_smoothness_score,0.1286322687030374,31
pearson,readyProb_1__mean,lateral_stability_score,-0.04573663289341895,31
pearson,readyProb_1__max,reaction_smoothness_score,,31
pearson,readyProb_1__max,steering_smoothness_score,0.44513674210089293,31
pearson,readyProb_1__max,longitudinal_smoothness_score,0.1345790224848903,31
pearson,readyProb_1__max,lateral_stability_score,-0.03172633076640178,31
pearson,readyProb_1__std,reaction_smoothness_score,,31
pearson,readyProb_1__std,steering_smoothness_score,0.27766100441456915,31
pearson,readyProb_1__std,longitudinal_smoothness_score,0.1508560284670762,31
pearson,readyProb_1__std,lateral_stability_score,0.006674588855337216,31
pearson,readyProb_2__mean,reaction_smoothness_score,,31
pearson,readyProb_2__mean,steering_smoothness_score,0.4101593403215008,31
pearson,readyProb_2__mean,longitudinal_smoothness_score,0.16234152373342509,31
pearson,readyProb_2__mean,lateral_stability_score,-0.08575951910363816,31
pearson,readyProb_2__max,reaction_smoothness_score,,31
pearson,readyProb_2__max,steering_smoothness_score,0.4086897263912352,31
pearson,readyProb_2__max,longitudinal_smoothness_score,0.1621272837458865,31
pearson,readyProb_2__max,lateral_stability_score,-0.08895804951559177,31
pearson,readyProb_2__std,reaction_smoothness_score,,31
pearson,readyProb_2__std,steering_smoothness_score,-0.008329416790720036,31
pearson,readyProb_2__std,longitudinal_smoothness_score,0.055140313198007475,31
pearson,readyProb_2__std,lateral_stability_score,-0.30886040010981264,31
pearson,readyProb_3__mean,reaction_smoothness_score,,31
pearson,readyProb_3__mean,steering_smoothness_score,0.397360427223765,31
pearson,readyProb_3__mean,longitudinal_smoothness_score,0.1480365067485929,31
pearson,readyProb_3__mean,lateral_stability_score,-0.11331500318049517,31
pearson,readyProb_3__max,reaction_smoothness_score,,31
pearson,readyProb_3__max,steering_smoothness_score,0.3968189961091767,31
pearson,readyProb_3__max,longitudinal_smoothness_score,0.15628084318322558,31
pearson,readyProb_3__max,lateral_stability_score,-0.11401380060099794,31
pearson,readyProb_3__std,reaction_smoothness_score,,31
pearson,readyProb_3__std,steering_smoothness_score,0.16067005496248984,31
pearson,readyProb_3__std,longitudinal_smoothness_score,0.23255735505136402,31
pearson,readyProb_3__std,lateral_stability_score,-0.01707886485815489,31
pearson,notReadyProb_0__mean,reaction_smoothness_score,,31
pearson,notReadyProb_0__mean,steering_smoothness_score,0.3610996989685781,31
pearson,notReadyProb_0__mean,longitudinal_smoothness_score,-0.0033226002955554245,31
pearson,notReadyProb_0__mean,lateral_stability_score,0.175368887477001,31
pearson,notReadyProb_0__max,reaction_smoothness_score,,31
pearson,notReadyProb_0__max,steering_smoothness_score,0.33298094635675884,31
pearson,notReadyProb_0__max,longitudinal_smoothness_score,-0.011548684575894495,31
pearson,notReadyProb_0__max,lateral_stability_score,0.19172303469959093,31
pearson,notReadyProb_0__std,reaction_smoothness_score,,31
pearson,notReadyProb_0__std,steering_smoothness_score,0.27294198131160835,31
pearson,notReadyProb_0__std,longitudinal_smoothness_score,0.0017928564179504106,31
pearson,notReadyProb_0__std,lateral_stability_score,0.20496039636810248,31
pearson,notReadyProb_1__mean,reaction_smoothness_score,,31
pearson,notReadyProb_1__mean,steering_smoothness_score,0.19605232816266585,31
pearson,notReadyProb_1__mean,longitudinal_smoothness_score,0.22899515988596808,31
pearson,notReadyProb_1__mean,lateral_stability_score,-0.17022556625642735,31
pearson,notReadyProb_1__max,reaction_smoothness_score,,31
pearson,notReadyProb_1__max,steering_smoothness_score,0.23506973016300342,31
pearson,notReadyProb_1__max,longitudinal_smoothness_score,0.22936994135330926,31
pearson,notReadyProb_1__max,lateral_stability_score,-0.15158606968051397,31
pearson,notReadyProb_1__std,reaction_smoothness_score,,31
pearson,notReadyProb_1__std,steering_smoothness_score,0.34474723997460593,31
pearson,notReadyProb_1__std,longitudinal_smoothness_score,0.14587273108087964,31
pearson,notReadyProb_1__std,lateral_stability_score,-0.03582375082780638,31
pearson,awarenessStatus__mean,reaction_smoothness_score,,31
pearson,awarenessStatus__mean,steering_smoothness_score,0.20363640644244063,31
pearson,awarenessStatus__mean,longitudinal_smoothness_score,0.11283219418359268,31
pearson,awarenessStatus__mean,lateral_stability_score,-0.025813304289768205,31
pearson,awarenessStatus__max,reaction_smoothness_score,,31
pearson,awarenessStatus__max,steering_smoothness_score,,31
pearson,awarenessStatus__max,longitudinal_smoothness_score,,31
pearson,awarenessStatus__max,lateral_stability_score,,31
pearson,awarenessStatus__std,reaction_smoothness_score,,31
pearson,awarenessStatus__std,steering_smoothness_score,-0.2036364064424407,31
pearson,awarenessStatus__std,longitudinal_smoothness_score,-0.11283219418359268,31
pearson,awarenessStatus__std,lateral_stability_score,0.025813304289768205,31
pearson,isDistracted__mean,reaction_smoothness_score,,31
pearson,isDistracted__mean,steering_smoothness_score,-0.20363640644244063,31
pearson,isDistracted__mean,longitudinal_smoothness_score,-0.1128321941835927,31
pearson,isDistracted__mean,lateral_stability_score,0.025813304289768208,31
pearson,isDistracted__max,reaction_smoothness_score,,31
pearson,isDistracted__max,steering_smoothness_score,-0.20363640644244063,31
pearson,isDistracted__max,longitudinal_smoothness_score,-0.11283219418359268,31
pearson,isDistracted__max,lateral_stability_score,0.025813304289768208,31
pearson,isDistracted__std,reaction_smoothness_score,,31
pearson,isDistracted__std,steering_smoothness_score,-0.2036364064424407,31
pearson,isDistracted__std,longitudinal_smoothness_score,-0.1128321941835927,31
pearson,isDistracted__std,lateral_stability_score,0.025813304289768208,31
pearson,distractedType__mean,reaction_smoothness_score,,31
pearson,distractedType__mean,steering_smoothness_score,-0.20363640644244063,31
pearson,distractedType__mean,longitudinal_smoothness_score,-0.1128321941835927,31
pearson,distractedType__mean,lateral_stability_score,0.025813304289768208,31
pearson,distractedType__max,reaction_smoothness_score,,31
pearson,distractedType__max,steering_smoothness_score,-0.20363640644244063,31
pearson,distractedType__max,longitudinal_smoothness_score,-0.11283219418359268,31
pearson,distractedType__max,lateral_stability_score,0.025813304289768208,31
pearson,distractedType__std,reaction_smoothness_score,,31
pearson,distractedType__std,steering_smoothness_score,-0.2036364064424407,31
pearson,distractedType__std,longitudinal_smoothness_score,-0.1128321941835927,31
pearson,distractedType__std,lateral_stability_score,0.025813304289768208,31
pearson,occludedProb__mean,reaction_smoothness_score,,31
