event_id,readyProb_0__mean,readyProb_0__max,readyProb_0__std,readyProb_1__mean,readyProb_1__max,readyProb_1__std,readyProb_2__mean,readyProb_2__max,readyProb_2__std,readyProb_3__mean,readyProb_3__max,readyProb_3__std,notReadyProb_0__mean,notReadyProb_0__max,notReadyProb_0__std,notReadyProb_1__mean,notReadyProb_1__max,notReadyProb_1__std,awarenessStatus__mean,awarenessStatus__max,awarenessStatus__std,isDistracted__mean,isDistracted__max,isDistracted__std,distractedType__mean,distractedType__max,distractedType__std,occludedProb__mean,occludedProb__max,occludedProb__std,poorVisionProb__mean,poorVisionProb__max,poorVisionProb__std,faceDetected__mean,faceDetected__max,faceDetected__std,vEgo__mean,vEgo__max,vEgo__std,aEgo__mean,aEgo__max,aEgo__std,vEgoRaw__mean,vEgoRaw__max,vEgoRaw__std,standstill__mean,standstill__max,standstill__std,steeringAngleDeg__mean,steeringAngleDeg__max,steeringAngleDeg__std,steeringTorque__mean,steeringTorque__max,steeringTorque__std,gas__mean,gas__max,gas__std,brake__mean,brake__max,brake__std,leadOne_dRel__mean,leadOne_dRel__max,leadOne_dRel__std,leadOne_vRel__mean,leadOne_vRel__max,leadOne_vRel__std,leadOne_aRel__mean,leadOne_aRel__max,leadOne_aRel__std,leadOne_yRel__mean,leadOne_yRel__max,leadOne_yRel__std,leadTwo_dRel__mean,leadTwo_dRel__max,leadTwo_dRel__std,leadTwo_vRel__mean,leadTwo_vRel__max,leadTwo_vRel__std,leadTwo_aRel__mean,leadTwo_aRel__max,leadTwo_aRel__std,leadTwo_yRel__mean,leadTwo_yRel__max,leadTwo_yRel__std,model_desiredCurvature__mean,model_desiredCurvature__max,model_desiredCurvature__std,laneLeft_prob__mean,laneLeft_prob__max,laneLeft_prob__std,laneRight_prob__mean,laneRight_prob__max,laneRight_prob__std,laneLeft_y__mean,laneLeft_y__max,laneLeft_y__std,laneRight_y__mean,laneRight_y__max,laneRight_y__std,hasLead__mean,hasLead__max,hasLead__std,shouldStop__mean,shouldStop__max,shouldStop__std,fcw__mean,fcw__max,fcw__std,accel_x__mean,accel_x__max,accel_x__std,accel_y__mean,accel_y__max,accel_y__std,accel_z__mean,accel_z__max,accel_z__std,gyro_x__mean,gyro_x__max,gyro_x__std,gyro_y__mean,gyro_y__max,gyro_y__std,gyro_z__mean,gyro_z__max,gyro_z__std
TAKE_00152,0.49372594411177645,0.499604,0.0036667654772115582,0.5172433892215569,0.52243,0.003263213970643582,0.5295774071856287,0.53157,0.0009649928216668222,0.4954576606786427,0.498922,0.0025170944925908267,0.004457998003992016,0.014018,0.0020596707168855917,0.54279600998004,0.545622,0.0011231081470188772,1.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0.4855234351297405,0.486981,0.000569376446899124,0.0004463632734530938,0.001601,0.00043012281475000044,1.0,1,0.0,21.376307441117763,21.693165,0.2134584899399321,0.0594938502994012,0.561045,0.28298489461549614,21.374955407185627,21.706944,0.21457454053584812,0.0,0,0.0,0.27156394211576845,0.9,0.4902745558831976,-5.42084424750499,226.658493,64.67047155327036,0.0,0.0,0.0,-0.00012542315369261478,0.0,0.0012657110019996009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3467065868263474e-05,0.000267,0.000126066543591762,0.9973116107784431,0.997936,0.00046436427317734407,0.9969871317365269,0.997816,0.0006052790221135458,-1.5708136526946106,-1.4838,0.0444749241664462,1.3431933393213573,1.41657,0.04077041268695495,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,9.69491310778443,10.716317,0.391325175748778,0.46123233133732533,1.236326,0.2785973312435673,0.3853111097804391,1.274644,0.3678539991709673,-0.027595041916167663,-0.019113,0.003437100679386556,0.002147455089820359,0.040156,0.014041989414199077,-0.003341059880239521,0.020918,0.012155171241920336
TAKE_00153,0.4951221736526946,0.498334,0.0022861761672680206,0.5201388343313373,0.525499,0.0015672840171772776,0.5296196167664671,0.532654,0.0013431511533844958,0.49367948902195613,0.496777,0.0019097816132686355,0.0035424810379241518,0.008914,0.0011493878240784194,0.545182612774451,0.547646,0.0012521988187809364,1.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0.48338059081836326,0.48456,0.0005906462073318811,0.0048506467065868265,0.227407,0.023891048426825764,1.0,1,0.0,21.25332016966068,21.300431,0.01884631232334394,1.2329341317366167e-05,0.356945,0.13456621427208731,21.253374816367266,21.361111,0.026376449906350494,0.0,0,0.0,2.7031103133732532,6.7,3.1875107887456218,152.1005528522954,1561.169392,377.1621199254083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011173592814371258,0.000213,0.0012542068372715402,0.9950153453093812,0.997879,0.0035317774842879416,0.9914680658682635,0.997824,0.006032979495544145,-1.4879885269461077,-1.176663,0.12054031101118794,1.2718080598802395,1.547778,0.11742400308299993,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,9.730457562874252,10.949764,0.3489448134575472,0.6234171137724551,1.548193,0.4257697109596466,0.4030970459081836,1.18736,0.1987511656623424,-0.006011560878243513,0.023604,0.022371516600775777,0.0002890159680638722,0.032312,0.013414450762507739,-0.01576807385229541,0.01397,0.01468890835959347
TAKE_00154,0.4955006187624751,0.497064,0.0009185542642474405,0.5116927704590818,0.516103,0.0016642632655940006,0.5267020279441118,0.530765,0.0010752288738763256,0.49634985828343314,0.498394,0.0007845686215215855,0.003444706586826347,0.006864,0.0010852038019360812,0.5406965449101796,0.542278,0.0005923024062749128,1.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0.4824506187624751,0.484517,0.0009275823286196796,0.014351714570858284,0.070328,0.013209583412673061,1.0,1,0.0,24.895057848303395,25.179331,0.2508723589680841,0.16256379640718563,0.506705,0.15186284958831273,24.892994343313372,25.21875,0.25263854430525984,0.0,0,0.0,0.35680854890219565,1.4,0.4714329498752627,-20.023934974051897,368.966572,112.0793492931262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6109780439121756e-05,0.000241,0.00013721369437542192,0.8595110738522954,0.992832,0.18611049133090946,0.5424723213572854,0.974957,0.2672031920610951,-1.5440386506986028,-1.419562,0.10956356941888937,1.5139319281437127,3.55864,0.3905804628211027,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,9.719845045908183,11.221006,0.396215210392342,0.4669137744510978,2.034319,0.3323994620758328,0.22620396407185628,2.333115,0.3661314493919671,-0.02658216367265469,-0.015273,0.004050356492601322,0.0013504590818363275,0.03956,0.015680496491910657,-0.008108540918163673,0.041485,0.01674812336653938
TAKE_00155,0.4923424371257485,0.494246,0.0010989266156295778,0.5199554530938124,0.524163,0.002210297725713723,0.5318541357285429,0.535262,0.0017752111506917332,0.4978282215568862,0.499698,0.0009272761470103257,0.003013367265469062,0.006941,0.0017017592476159216,0.5454750359281436,0.547669,0.0011350211463702622,1.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0.4830132295409182,0.485266,0.001192728541289239,0.003790069860279441,0.080668,0.009186867319446264,1.0,1,0.0,22.858722826347304,22.89741,0.019965481137698422,0.0012643952095808383,0.583383,0.13725683392715823,22.85891159680639,22.984722,0.03161842775416116,0.0,0,0.0,-0.840117992015968,0.1,1.1031320674090588,-150.02747773253495,196.114983,571.1125384916463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023849101796407187,0.001071,0.0002881854791955377,0.9021900778443114,0.990723,0.0988790491802986,0.8922540439121757,0.954748,0.07293371825109463,-1.4001704391217566,-1.300159,0.04783915715585684,1.5066779201596807,1.595451,0.09076405152960937,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,9.644111874251497,11.592994,0.7312076108477854,0.28444926347305394,1.896218,0.42501362152595834,0.3711907584830339,2.922485,0.4932460309623099,-0.031114864271457085,-0.021677,0.006315026018437364,0.004309359281437126,0.141389,0.026713090134513798,-0.007807978043912175,0.04872,0.019432640220040015
TAKE_00156,0.4921697285429142,0.493664,0.0005646724591864774,0.5223443053892216,0.525308,0.0010234753893235723,0.5327327025948104,0.534795,0.0015810668971844484,0.4976134491017964,0.499371,0.0014318520719350189,0.002345702594810379,0.005343,0.0011453978546222508,0.5450596467065868,0.5466,0.0009529837904887052,1.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0.48302063872255485,0.484666,0.0007460200394209344,0.0007128782435129741,0.006336,0.0010804824177864758,1.0,1,0.0,15.821325938123753,16.343479,0.20583050387194168,-0.17679486427145708,0.270593,0.15739346078981026,15.823011922155688,16.36389,0.20749862283760073,0.0,0,0.0,4.317247886227545,20.334337,5.115115704005062,-29.701720033932137,2975.899309,510.6377565003773,0.0,0.0,0.0,0.000999632734530938,0.223585,0.012784646769654856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00301477245508982,0.000637,0.0036045696814071657,0.9166312694610778,0.987656,0.06900957726916743,0.8865623093812375,0.984147,0.13555161418502581,-1.5508523093812374,-1.159177,0.15804634943773285,1.3779579321357287,1.579801,0.08748466943207464,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,9.76075195209581,11.311105,0.47301834828009975,0.3561923852295409,1.839157,0.46119432673147814,0.5071936646706587,2.027961,0.33245481530108023,8.83493013972056e-05,0.065369,0.03120403252568079,-0.0021321576846307384,0.038796,0.014085285120617406,0.00699637125748503,0.072712,0.03314011365457114
TAKE_00157,0.49305125548902196,0.494746,0.0008982770745125367,0.5234220918163672,0.528221,0.002454528016453114,0.5303273992015968,0.531861,0.0007171276736534697,0.49424916766467064,0.496091,0.0005207544371700895,0.0040754151696606785,0.007872,0.001015446224715727,0.5429913872255488,0.544651,0.0007010942459872678,1.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0.48441636127744514,0.486144,0.0007327051734616257,0.01574953892215569,0.079183,0.010387237294342612,1.0,1,0.0,20.414249017964075,20.898804,0.36431660742069544,-0.22684898602794412,0.585982,0.2515810119454603,20.41569093013972,20.92639,0.3631845905637512,0.0,0,0.0,1.128441884231537,2.6,0.8113952554145429,406.4274540339321,2140.394371,789.084401468277,0.0,0.0,0.0,-5.320558882235529e-05,0.015625,0.001559121751387204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.639321357285429e-05,0.000463,0.00019861994631419145,0.9850880838323354,0.992469,0.005146091171069528,0.9704207964071856,0.983109,0.015105998563036816,-1.4597478902195609,-1.34375,0.046050093144942884,1.3049415588822355,1.418868,0.06226837864010136,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,9.758353688622755,12.545343,0.8285220835024536,0.7579671037924152,5.115569,0.884709932044494,0.6688456566866268,2.484944,0.5003407108656043,-0.02629559880239521,-0.007483,0.008372252706931302,-0.0025148423153692613,0.103767,0.04085441952965536,0.00496729740518962,0.262657,0.06409484655010399
TAKE_00158,0.4948193093812375,0.497583,0.0019725494097970345,0.5226940179640719,0.527105,0.0020898259740171556,0.5302514271457085,0.531867,0.0006517966317660921,0.4945643972055888,0.496614,0.0008974241382491459,0.0020199660678642713,0.003544,0.0008300123233099062,0.544261884231537,0.546223,0.0007540437749700074,1.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0.48318145908183635,0.484312,0.0005165623958655129,0.001867441117764471,0.004446,0.0007456999175445493,1.0,1,0.0,24.63359769061876,24.799578,0.07138478761268005,-0.05221356087824351,0.174266,0.07816480403357248,24.633881538922157,24.841667,0.07452491245585356,0.0,0,0.0,0.7898112215568862,1.7,0.5048610172458641,-77.22051702594811,920.680171,343.15739712424534,0.0,0.0,0.0,0.0031286586826347307,0.09375,0.014313150058784037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00012455089820359282,0.000211,0.0001483266931613849,0.9435419920159681,0.997408,0.11724020264777751,0.37991140518962074,0.902634,0.2852555053738901,-1.51769226746507,-1.351401,0.1021331261909684,1.8611882095808383,2.00311,0.07814965517355763,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,9.721909730538922,10.832511,0.32797979708991365,0.4744473832335329,1.419419,0.31234881303627327,0.3620661516966068,1.416348,0.24733420545893156,-0.02367437724550898,-0.013678,0.003722392465525526,0.0010292355289421157,0.029954,0.01062463865363971,-0.005264894211576846,0.032813,0.01336413344496329
TAKE_00159,0.4948936027944112,0.498484,0.0019128054882587302,0.5247421077844312,0.535947,0.006126826491125844,0.5297978023952096,0.534481,0.0016127642452863514,0.49276788023952095,0.494947,0.0012774775871336734,0.01167236127744511,0.027312,0.00624875218577418,0.5445461696606787,0.547217,0.0017758476796045552,1.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0.4838449161676647,0.484938,0.0006487894889392615,0.0014239221556886228,0.00383,0.0007710216753945012,1.0,1,0.0,22.90254541516966,23.514015,0.3377576394643022,-0.22501692215568864,0.180262,0.13694974660239395,22.905100441117764,23.561806,0.3392150623464754,0.0,0,0.0,0.18462692215568863,0.6,0.25944487426051804,-247.87185069061877,127.411824,408.35208884920536,0.0,0.0,0.0,0.005647035928143713,0.140625,0.021828052807401455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0578842315369236e-07,0.000148,8.042163133403321e-05,0.9913459600798403,0.996322,0.006175874263487251,0.14150074251497008,0.580852,0.10273341457404975,-1.6680579600798404,-1.589189,0.048762937578148494,1.6795907804391217,1.744848,0.02790793736125416,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,9.720340672654691,10.675873,0.3572803210588932,0.3902028223552894,1.406982,0.2591594173891398,0.6287124451097804,1.298959,0.2022797152750506,-0.026712842315369262,-0.021785,0.0023501148791252383,4.886027944111773e-05,0.036759,0.014528267249484328,-0.005749820359281436,0.031718,0.010831459831050702
TAKE_00160,0.4940224411177645,0.498353,0.0016657604410676506,0.522491119760479,0.536925,0.004669975312314577,0.5316790339321357,0.533215,0.0007096198058441306,0.49353013373253496,0.495177,0.00114649218927991,0.004989894211576846,0.025676,0.004422945054913799,0.5466548343313373,0.548175,0.0007774348606146226,1.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0.48275248303393214,0.484139,0.000638578767429366,0.030351868263473053,0.136039,0.02369215287774857,1.0,1,0.0,27.495353093812373,27.603668,0.06295948097791734,0.037046087824351294,0.350017,0.12172882813080994,27.494876487025948,27.638889,0.06549670666244621,0.0,0,0.0,0.039077908183632735,0.5,0.24636228396913268,-59.95094294011976,965.88476,216.24056663152186,0.0,0.0,0.0,0.005784784431137725,0.196981,0.024426210931403937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.670658682634731e-06,0.000151,8.078683876328659e-05,0.9962876566866267,0.998272,0.0017065038065883075,0.9973414930139721,0.998404,0.0007851142556668133,-2.0255754271457085,-1.979849,0.023487789928411138,1.4941695828343315,1.55908,0.019441067202178662,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,9.698491199600799,10.589334,0.39031560232758317,0.4375776666666667,1.339512,0.2839461721041906,0.3676344111776447,1.556156,0.3674634857087851,-0.026825335329341317,-0.019744,0.0028806548094711627,0.0015751397205588822,0.046616,0.016811923228840862,-0.004906003992015968,0.019469,0.00857205910898799
TAKE_00161,0.493969872255489,0.495049,0.0003990704895737958,0.5255269600798403,0.528283,0.00199188803360112,0.5347216946107785,0.536066,0.0011742162511866757,0.4958542175648703,0.497303,0.00048519119383072675,0.004313307385229541,0.00678,0.0011994383007580467,0.5490647724550899,0.550609,0.0008552154349166819,1.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0.48406308782435126,0.486425,0.0018243628378891456,0.015786085828343312,0.098024,0.010360587272477304,1.0,1,0.0,12.83566125948104,13.682367,0.45207879952767255,-0.2733947085828344,0.128943,0.1917446295409988,12.83834848502994,13.694445,0.4519675957374487,0.0,0,0.0,-17.314125115768462,-2.1,12.716384857231247,-356.1732908962076,1891.022915,1162.3948767801971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008470335329341317,0.015958,0.00482798316850104,0.9171811616766468,0.957144,0.02713728385000622,0.7128812155688622,0.956514,0.1842160719511777,-1.5148485868263475,-0.900271,0.3952518657846496,1.3628332375249501,1.926462,0.3008396710127262,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,9.746994780439122,11.367646,0.473358989804279,-0.21129164271457085,1.606701,0.8896219560507814,0.6907588023952096,1.80289,0.37367732382291385,-0.10949085828343313,-0.037898,0.057955511171396606,-0.005019968063872255,0.061056,0.024159060857222466,-0.008782061876247504,0.053206,0.025113194240601166
